S265Swp
IMP=ohm,,MAVE=0
MEMO=20220829_102
DATE=2022/09/06 14:42:04
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 36.550, 20.730,, 17.780, -1.600
   20.24, 37.350, 20.753,, 17.780,  3.810
   20.54, 37.760, 20.777,, 18.030,  9.720
   20.83, 38.940, 20.777,  0.000, 17.770, 14.630
   21.13, 41.670, 20.777,  0.000, 16.440, 16.900
   21.44, 43.750, 20.801,  0.200, 15.380, 16.420
   21.75, 43.050, 20.801,  0.000, 15.760, 13.760
   22.07, 40.760, 20.825,  0.000, 16.270, 10.550
   22.39, 38.920, 20.825,  0.000, 14.970,  8.700
   22.71, 39.010, 20.825,  0.000, 11.140,  9.610
   23.04, 40.270, 20.849,  0.000,  8.910, 12.650
   23.37, 41.650, 20.873,  0.000, 11.920, 16.580
   23.71, 43.110, 20.873,  0.000, 16.980, 19.680
   24.06, 44.670, 20.873,  1.000, 20.180, 20.510
   24.41, 45.740, 20.897,  2.200, 21.630, 19.160
   24.76, 45.830, 20.897, 11.400, 22.320, 16.480
   25.12, 45.630, 20.921, 20.800, 22.770, 14.860
   25.48, 45.880, 20.945, 22.000, 23.130, 16.040
   25.85, 46.410, 20.945, 23.400, 22.630, 17.670
   26.23, 46.890, 20.945, 22.200, 20.600, 17.370
   26.61, 47.360, 20.970, 21.000, 17.740, 16.650
   26.99, 47.740, 20.994, 33.800, 14.980, 17.240
   27.38, 47.040, 21.018, 46.600, 12.820, 17.860
   27.78, 45.110, 21.042, 42.800, 11.750, 17.410
   28.18, 44.910, 21.066, 39.000, 12.540, 17.460
   28.59, 46.170, 21.066, 38.600, 15.160, 15.980
   29.01, 47.670, 21.091, 37.200, 18.620, 11.860
   29.43, 48.750, 21.115, 36.000, 18.960, 12.070
   29.85, 49.080, 21.139, 46.800, 15.020, 20.140
   30.29, 49.120, 21.164, 57.800, 16.060, 22.540
   30.73, 49.040, 21.188, 61.800, 19.780, 19.810
   31.17, 48.940, 21.212, 66.200, 21.330, 16.650
   31.62, 49.140, 21.237, 70.800, 20.880, 14.830
   32.08, 49.910, 21.286, 70.800, 20.110, 15.220
   32.55, 50.980, 21.310, 69.000, 20.640, 17.640
   33.02, 51.280, 21.335, 67.400, 19.590, 19.840
