S265Swp
IMP=ohm,,MAVE=27
MEMO=FE83NV_1M1W_NO.1
DATE=2022/01/12 09:36:38
FREQ , SPL, Imp, Phs, 2nd, 3rd
   19.95, 54.890,  7.221,, 37.010, 48.640
   20.24, 54.350,  7.254,, 33.570, 48.740
   20.54, 53.810,  7.263,, 30.130, 48.840
   20.83, 53.150,  7.271, 19.400, 26.740, 48.980
   21.13, 52.400,  7.279, 20.800, 23.700, 49.080
   21.44, 51.900,  7.288, 22.400, 21.640, 48.850
   21.75, 51.910,  7.296, 21.200, 21.160, 48.080
   22.07, 52.260,  7.296, 20.000, 22.480, 46.960
   22.39, 52.530,  7.304, 19.000, 25.440, 45.960
   22.71, 52.560,  7.313, 17.400, 29.140, 45.460
   23.04, 52.710,  7.321, 15.800, 31.690, 45.700
   23.37, 53.440,  7.330,-67.800, 31.770, 46.580
   23.71, 54.770,  7.330,-151.400, 30.090, 47.680
   24.06, 56.100,  7.338,-70.600, 28.420, 48.140
   24.41, 56.260,  7.347, 10.200, 28.300, 46.990
   24.76, 55.090,  7.355, 17.200, 30.220, 44.450
   25.12, 54.270,  7.364, 24.400, 33.270, 42.760
   25.48, 55.070,  7.372, 20.600, 35.840, 43.560
   25.85, 56.280,  7.381, 17.000, 36.540, 45.600
   26.23, 56.440,  7.389, 18.800, 35.130, 47.050
   26.61, 56.280,  7.398, 20.800, 32.990, 47.910
   26.99, 56.610,  7.406, 22.400, 32.110, 48.460
   27.38, 56.610,  7.415, 24.200, 33.620, 47.690
   27.78, 56.420,  7.423, 22.800, 36.470, 46.070
   28.18, 57.350,  7.432, 21.400, 38.590, 45.910
   28.59, 57.880,  7.440,  0.000, 39.820, 47.310
   29.01, 56.550,  7.440, 13.200, 40.450, 48.690
   29.43, 55.960,  7.449, 26.400, 38.980, 49.590
   29.85, 57.750,  7.466, 20.600, 36.150, 50.240
   30.29, 59.360,  7.475, 14.800, 35.500, 50.380
   30.73, 59.060,  7.483, 17.600, 37.400, 49.480
   31.17, 58.070,  7.492, 20.000, 39.700, 48.170
   31.62, 58.440,  7.500, 22.600, 42.050, 48.470
   32.08, 60.120,  7.518,  8.400, 44.690, 50.600
   32.55, 60.950,  7.526, 16.000, 46.130, 52.250
   33.02, 60.340,  7.535, 23.600, 44.260, 52.720
   33.50, 60.080,  7.552, 28.000, 40.650, 52.980
   33.98, 60.870,  7.561, 26.800, 39.690, 52.960
   34.47, 60.930,  7.570, 25.800, 41.710, 52.130
   34.97, 60.520,  7.587, 37.200, 43.610, 51.620
   35.48, 61.150,  7.605, 32.400, 44.210, 52.620
   36.00, 61.250,  7.614, 27.800, 43.960, 53.860
   36.52, 60.900,  7.622, 33.000, 42.380, 54.450
   37.05, 61.280,  7.640, 26.600, 39.980, 54.620
   37.58, 61.710,  7.658, 26.200, 38.960, 54.400
   38.13, 62.500,  7.658, 26.000, 39.830, 54.110
   38.68, 63.210,  7.666,-148.400, 41.620, 53.790
   39.24, 62.990,  7.684, 23.200, 43.350, 53.940
   39.81, 62.910,  7.702, 24.200, 44.190, 55.090
   40.39, 63.470,  7.720, 25.200, 44.410, 56.360
   40.97, 63.900,  7.728, 19.600, 44.300, 56.950
   41.57, 64.170,  7.746, 24.000, 42.960, 56.970
   42.17, 64.570,  7.764, 23.800, 41.660, 56.660
   42.78, 64.860,  7.782, 28.000, 42.770, 56.450
   43.40, 65.280,  7.800, 26.000, 44.960, 56.500
   44.03, 65.980,  7.827, 17.200, 46.270, 56.940
   44.67, 66.480,  7.845,  8.400, 46.680, 57.940
   45.32, 67.080,  7.863, 24.200, 46.610, 58.790
   45.97, 67.690,  7.890, 10.800, 45.790, 58.820
   46.64, 67.970,  7.908, 14.200, 45.110, 58.370
   47.32, 68.260,  7.936, 22.200, 46.360, 58.170
   48.00, 68.880,  7.954, 21.000, 48.400, 58.380
   48.70, 69.550,  7.982, 18.800, 49.640, 58.780
   49.40, 70.000,  8.000, 14.800, 50.100, 59.520
   50.12, 70.450,  8.000, 25.200, 50.000, 60.410
   50.85, 70.910,  8.009, 23.200, 49.650, 60.840
   51.58, 71.290,  8.037, 30.000, 48.910, 60.560
   52.33, 71.520,  8.065, 28.400, 48.500, 60.140
   53.09, 71.790,  8.093, 32.400, 49.690, 60.030
   53.86, 72.290,  8.121, 28.200, 51.390, 60.030
   54.64, 72.840,  8.149, 23.800, 52.320, 60.050
   55.43, 73.170,  8.177, 26.400, 52.600, 60.520
   56.23, 73.270,  8.215, 34.600, 52.470, 61.320
   57.05, 73.520,  8.253, 29.800, 52.220, 61.630
   57.88, 74.050,  8.300, 37.000, 51.900, 61.150
   58.72, 74.550,  8.348, 42.000, 51.970, 60.630
   59.57, 74.750,  8.387, 39.000, 53.110, 60.540
   60.43, 74.760,  8.425, 48.400, 54.460, 60.560
   61.31, 74.810,  8.464, 52.400, 55.200, 60.730
   62.19, 74.750,  8.513, 55.200, 55.420, 61.410
   63.10, 74.420,  8.562, 57.800, 55.280, 62.160
   64.01, 73.860,  8.612, 66.000, 55.150, 62.070
   64.94, 73.060,  8.661, 66.800, 54.960, 61.410
   65.88, 72.150,  8.721, 68.400, 54.970, 61.050
   66.83, 71.490,  8.782, 69.400, 55.860, 60.940
   67.80, 71.280,  8.843, 68.400, 56.920, 60.720
   68.79, 71.650,  8.914, 64.200, 57.290, 60.590
   69.78, 72.320,  8.976, 59.000, 57.140, 61.010
   70.79, 73.040,  9.038, 59.200, 56.920, 61.550
   71.82, 73.490,  9.122, 58.800, 57.040, 61.300
   72.86, 73.400,  9.196, 61.400, 57.190, 60.730
   73.92, 73.160,  9.270, 65.000, 57.530, 60.540
   74.99, 73.420,  9.356, 61.600, 58.580, 60.500
   76.08, 73.930,  9.443, 63.200, 59.620, 60.400
   77.18, 74.100,  9.530, 63.400, 59.970, 60.530
   78.30, 74.060,  9.618, 62.600, 59.780, 61.110
   79.43, 74.300,  9.729, 64.800, 59.600, 61.400
   80.58, 74.560,  9.853, 63.800, 59.660, 61.010
   81.75, 74.720,  9.968, 65.600, 59.790, 60.690
   82.94, 75.030, 10.095, 63.200, 60.250, 60.670
   84.14, 75.390, 10.235, 62.000, 61.160, 60.580
   85.36, 75.730, 10.377, 62.800, 61.800, 60.350
   86.60, 76.070, 10.522, 63.200, 61.690, 60.320
   87.85, 76.390, 10.705, 60.400, 61.250, 60.610
   89.13, 76.770, 10.917, 59.200, 61.110, 60.580
   90.42, 77.090, 11.120, 62.400, 61.230, 60.080
   91.73, 77.340, 11.313, 63.600, 61.450, 59.700
   93.06, 77.640, 11.510, 62.000, 62.050, 59.430
   94.41, 77.960, 11.738, 64.800, 62.950, 58.980
   95.77, 78.310, 12.011, 62.400, 63.380, 58.460
   97.16, 78.600, 12.305, 65.200, 63.040, 58.180
   98.57, 78.790, 12.606, 65.400, 62.640, 58.220
  100.00, 78.980, 12.930, 66.000, 62.590, 58.000
  101.45, 79.160, 13.277, 69.200, 62.590, 57.460
  102.92, 79.310, 13.649, 68.200, 62.590, 57.090
  104.41, 79.490, 14.047, 67.600, 63.030, 56.900
  105.93, 79.760, 14.491, 67.600, 63.740, 56.700
  107.46, 80.100, 15.017, 65.800, 63.750, 56.430
  109.02, 80.390, 15.599, 67.600, 63.260, 56.230
  110.60, 80.580, 16.147, 69.200, 63.090, 56.200
  112.20, 80.720, 16.734, 72.200, 63.180, 55.890
  113.83, 80.890, 17.422, 69.800, 63.220, 55.300
  115.48, 81.100, 18.159, 70.600, 63.220, 54.870
  117.15, 81.350, 18.884, 71.000, 63.640, 54.610
  118.85, 81.620, 19.683, 72.200, 64.320, 54.310
  120.57, 81.860, 20.563, 73.800, 64.350, 53.820
  122.32, 82.030, 21.458, 77.000, 64.070, 53.330
  124.09, 82.200, 22.366, 78.000, 64.090, 53.030
  125.89, 82.380, 23.232, 76.400, 64.140, 52.660
  127.72, 82.570, 24.076, 78.000, 64.050, 52.290
  129.57, 82.710, 24.808, 78.000, 64.020, 52.160
  131.45, 82.840, 25.474, 78.200, 64.390, 52.160
  133.35, 82.970, 26.007, 79.000, 64.740, 52.160
  135.29, 83.100, 26.399, 80.000, 64.460, 52.100
  137.25, 83.260, 26.552, 80.800, 64.040, 52.160
  139.24, 83.440, 26.490, 82.000, 63.820, 52.420
  141.25, 83.610, 26.278, 82.400, 63.540, 52.580
  143.30, 83.820, 25.887, 83.800, 63.180, 52.490
  145.38, 84.060, 25.327, 83.800, 62.900, 52.310
  147.49, 84.310, 24.637, 85.800, 62.990, 52.170
  149.62, 84.520, 23.856, 87.800, 63.040, 52.190
  151.79, 84.700, 23.072, 88.200, 62.690, 52.330
  153.99, 84.850, 22.238, 90.400, 62.380, 52.560
  156.22, 84.980, 21.359, 92.800, 62.290, 52.870
  158.49, 85.050, 20.492, 95.000, 62.210, 53.030
  160.79, 85.070, 19.728, 96.000, 62.050, 52.890
  163.12, 85.060, 19.015, 98.000, 61.880, 52.600
  165.48, 85.050, 18.306,100.000, 61.880, 52.360
  167.88, 85.070, 17.644, 99.400, 61.860, 52.250
  170.31, 85.140, 17.045,100.600, 61.610, 52.180
  172.78, 85.300, 16.485,100.400, 61.400, 51.970
  175.29, 85.500, 15.944,100.200, 61.260, 51.850
  177.83, 85.730, 15.420,101.800, 61.040, 51.970
  180.41, 85.940, 14.931,103.200, 60.730, 52.140
  183.02, 86.070, 14.491,104.200, 60.370, 52.080
  185.67, 86.140, 14.096,107.200, 60.140, 51.630
  188.36, 86.230, 13.696,108.200, 60.020, 51.040
  191.10, 86.300, 13.338,109.400, 59.750, 50.580
  193.87, 86.310, 12.989,112.800, 59.460, 50.260
  196.68, 86.280, 12.679,113.000, 59.310, 50.150
  199.53, 86.230, 12.376,114.600, 59.220, 50.370
  202.42, 86.210, 12.108,116.000, 59.130, 50.830
  205.35, 86.230, 11.846,115.600, 58.970, 51.280
  208.33, 86.280, 11.617,116.600, 58.890, 51.600
  211.35, 86.320, 11.392,118.200, 58.860, 51.740
  214.41, 86.360, 11.158,119.400, 58.560, 51.550
  217.52, 86.400, 10.942,119.800, 58.100, 51.010
  220.67, 86.460, 10.742,120.800, 57.720, 50.310
  223.87, 86.540, 10.558,121.200, 57.490, 49.510
  227.12, 86.630, 10.389,121.400, 57.360, 48.690
  230.41, 86.740, 10.235,121.600, 57.200, 48.120
  233.75, 86.860, 10.083,122.800, 57.080, 47.690
  237.14, 87.000,  9.933,122.600, 56.970, 47.000
  240.57, 87.130,  9.786,124.200, 56.620, 46.100
  244.06, 87.250,  9.663,126.400, 56.110, 45.340
  247.60, 87.340,  9.530,127.600, 55.610, 45.090
  251.19, 87.410,  9.410,129.800, 55.180, 45.170
  254.83, 87.450,  9.302,131.200, 54.830, 45.090
  258.52, 87.480,  9.206,132.400, 54.400, 44.740
  262.27, 87.490,  9.112,134.400, 53.990, 44.200
  266.07, 87.480,  9.018,135.800, 53.820, 43.740
  269.93, 87.430,  8.925,137.000, 53.770, 43.560
  273.84, 87.360,  8.843,139.200, 53.540, 43.360
  277.81, 87.260,  8.762,140.600, 53.000, 43.020
  281.84, 87.110,  8.691,141.200, 52.260, 42.380
  285.92, 86.960,  8.612,142.800, 51.600, 41.140
  290.07, 86.800,  8.543,144.000, 51.010, 39.420
  294.27, 86.650,  8.484,144.000, 50.510, 37.290
  298.54, 86.540,  8.416,143.600, 50.370, 36.160
  302.87, 86.540,  8.358,142.800, 50.530, 37.910
  307.26, 86.660,  8.310,142.200, 50.700, 40.430
  311.71, 86.830,  8.262,141.800, 50.780, 40.810
  316.23, 86.970,  8.215,142.800, 50.690, 39.720
  320.81, 86.980,  8.168,144.200, 50.260, 38.460
  325.46, 86.890,  8.121,146.200, 49.620, 37.350
  330.18, 86.790,  8.074,146.400, 49.260, 36.630
  334.97, 86.750,  8.037,146.400, 49.160, 36.240
  339.82, 86.790,  8.009,146.800, 48.870, 35.900
  344.75, 86.880,  8.000,146.800, 48.480, 35.490
  349.74, 86.970,  7.982,148.000, 48.190, 35.100
  354.81, 86.980,  7.945,150.000, 47.670, 34.470
  359.96, 86.900,  7.918,151.200, 46.880, 33.300
  365.17, 86.720,  7.890,151.400, 46.120, 31.630
  370.47, 86.540,  7.863,152.400, 45.870, 29.910
  375.84, 86.440,  7.836,151.400, 46.110, 28.690
  381.29, 86.460,  7.809,149.600, 46.280, 27.940
  386.81, 86.540,  7.791,150.000, 46.140, 27.290
  392.42, 86.690,  7.764,150.200, 45.760, 26.470
  398.11, 86.880,  7.746,150.200, 45.420, 26.230
  403.88, 87.010,  7.728,152.000, 45.430, 25.970
  409.73, 87.050,  7.711,152.800, 45.470, 24.430
  415.67, 87.030,  7.693,153.400, 45.370, 24.940
  421.70, 86.990,  7.675,155.200, 45.210, 29.640
  427.81, 86.890,  7.658,155.800, 44.690, 33.450
  434.01, 86.780,  7.640,155.800, 43.910, 32.960
  440.30, 86.750,  7.631,156.200, 43.140, 31.200
  446.68, 86.850,  7.614,155.600, 42.370, 30.460
  453.16, 87.010,  7.605,154.800, 41.920, 29.920
  459.73, 87.160,  7.596,157.000, 42.150, 28.090
  466.39, 87.210,  7.587,159.000, 42.450, 26.820
  473.15, 87.150,  7.570,159.800, 41.970, 29.510
  480.01, 87.020,  7.561,162.000, 40.860, 32.880
  486.97, 86.830,  7.552,162.800, 39.780, 33.350
  494.03, 86.640,  7.552,162.200, 39.130, 33.010
  501.19, 86.590,  7.544,161.400, 38.910, 33.320
  508.45, 86.570,  7.535,162.400, 38.710, 33.810
  515.82, 86.430,  7.526,163.600, 38.340, 34.020
  523.30, 86.260,  7.526,163.200, 38.010, 34.180
  530.88, 86.330,  7.518,161.600, 37.450, 35.180
  538.58, 86.560,  7.518,162.400, 36.270, 36.910
  546.39, 86.570,  7.518,165.000, 34.710, 38.310
  554.31, 86.250,  7.509,167.800, 33.090, 39.320
  562.34, 85.910,  7.509,166.800, 31.540, 39.960
  570.49, 85.750,  7.509,165.200, 29.590, 39.860
  578.76, 85.600,  7.509,165.000, 27.210, 39.270
  587.15, 85.430,  7.509,163.000, 25.560, 38.410
  595.66, 85.540,  7.509,159.400, 24.400, 37.660
  604.30, 85.960,  7.518,157.200, 23.420, 37.390
  613.06, 86.380,  7.526,157.800, 23.940, 36.720
  621.94, 86.690,  7.535,160.000, 26.290, 34.140
  630.96, 86.770,  7.561,163.000, 28.710, 31.730
  640.10, 86.480,  7.596,165.600, 28.380, 31.310
  649.38, 86.010,  7.631,165.800, 26.220, 29.940
  658.79, 85.880,  7.649,161.600, 26.520, 26.670
  668.34, 86.090,  7.622,160.200, 29.480, 21.330
  678.03, 86.310,  7.579,161.400, 32.690, 17.480
  687.86, 86.480,  7.552,161.400, 35.190, 20.150
  697.83, 86.550,  7.544,164.000, 37.420, 24.650
  707.95, 86.370,  7.544,165.000, 39.590, 26.680
  718.21, 86.040,  7.535,165.000, 40.480, 27.130
  728.62, 85.900,  7.535,161.400, 40.090, 26.470
  739.18, 86.140,  7.535,158.400, 39.930, 25.720
  749.89, 86.590,  7.535,158.000, 40.400, 26.250
  760.76, 86.960,  7.535,159.200, 41.050, 27.880
  771.79, 87.080,  7.535,161.800, 41.260, 28.920
  782.98, 86.970,  7.535,164.200, 40.720, 28.560
  794.33, 87.030,  7.544,160.200, 40.340, 28.630
  805.84, 87.410,  7.544,159.800, 40.560, 30.560
  817.52, 87.730,  7.544,163.400, 40.590, 32.900
  829.37, 87.830,  7.544,164.800, 40.750, 34.040
  841.40, 87.760,  7.552,167.200, 41.110, 33.490
  853.59, 87.490,  7.561,169.200, 40.610, 32.570
  865.96, 87.290,  7.561,166.800, 39.420, 31.590
  878.52, 87.470,  7.579,164.000, 38.360, 29.610
  891.25, 87.980,  7.596,162.800, 37.960, 27.830
  904.17, 88.480,  7.596,165.800, 38.250, 24.760
  917.28, 88.560,  7.579,172.200, 38.180, 19.720
  930.57, 88.290,  7.570,173.800, 36.480, 18.180
  944.06, 87.740,  7.570,178.800, 33.880, 20.150
  957.75, 87.010,  7.570,178.800, 31.100, 20.890
  971.63, 86.550,  7.579,174.800, 27.730, 19.330
  985.71, 86.650,  7.587,169.000, 23.810, 17.770
 1000.00, 87.120,  7.587,166.800, 21.250, 19.720
 1014.50, 87.630,  7.596,166.600, 22.040, 22.840
 1029.20, 88.170,  7.605,166.000, 24.120, 24.000
 1044.12, 88.640,  7.614,170.400, 25.660, 24.970
 1059.25, 88.650,  7.622,176.200, 27.120, 26.050
 1074.61, 88.370,  7.631,177.800, 28.500, 26.260
 1090.18, 88.060,  7.649,-179.600, 29.980, 26.110
 1105.99, 87.800,  7.658,-179.800, 32.270, 25.700
 1122.02, 87.590,  7.675,178.600, 35.090, 25.300
 1138.28, 87.200,  7.684,-178.000, 37.070, 25.880
 1154.78, 87.070,  7.693,175.000, 37.770, 26.390
 1171.52, 87.490,  7.702,171.800, 37.510, 25.850
 1188.50, 87.970,  7.720,175.000, 37.100, 25.610
 1205.73, 88.230,  7.728,174.000, 37.420, 26.290
 1223.21, 88.440,  7.746,178.000, 38.050, 26.620
 1240.94, 88.920,  7.773,174.400, 38.170, 26.960
 1258.93, 89.390,  7.782,-178.600, 38.310, 28.330
 1277.17, 88.880,  7.791,-168.200, 38.570, 29.360
 1295.69, 87.630,  7.800,-165.800, 38.770, 29.710
 1314.47, 86.940,  7.818,-174.200, 40.030, 30.310
 1333.52, 87.080,  7.845,-179.600, 41.600, 30.300
 1352.85, 87.520,  7.872,179.600, 42.010, 29.130
 1372.46, 87.650,  7.899,-177.800, 42.180, 28.070
 1392.36, 87.600,  7.936,179.800, 42.950, 28.020
 1412.54, 88.060,  7.954,175.200, 43.700, 28.480
 1433.01, 88.580,  7.972,179.600, 44.000, 29.080
 1453.78, 88.770,  7.991,179.600, 44.120, 29.800
 1474.86, 89.140,  8.009,179.200, 44.780, 30.230
 1496.24, 89.840,  8.037,179.000, 46.560, 30.550
 1517.92, 90.410,  8.083,-174.400, 48.500, 31.070
 1539.93, 90.350,  8.139,-166.000, 49.870, 31.410
 1562.25, 89.680,  8.196,-162.200, 51.380, 30.950
 1584.89, 89.530,  8.281,-170.400, 53.120, 30.130
 1607.87, 90.470,  8.367,-172.400, 54.570, 28.640
 1631.17, 91.610,  8.464,-167.200, 55.730, 26.280
 1654.82, 92.570,  8.572,-162.200, 56.610, 24.060
 1678.80, 93.020,  8.691,-146.800, 57.160, 24.730
 1703.14, 92.510,  8.792,-132.000, 57.900, 29.950
 1727.83, 91.480,  8.873,-124.800, 58.820, 35.450
 1752.87, 90.340,  8.894,-117.400, 59.060, 38.590
 1778.28, 89.210,  8.853,-111.800, 58.640, 39.140
 1804.06, 88.340,  8.772,-111.000, 58.100, 36.730
 1830.21, 87.420,  8.642,-105.600, 57.210, 33.760
 1856.74, 85.870,  8.513,-94.600, 56.040, 33.660
 1883.65, 84.040,  8.406,-97.000, 55.310, 35.880
 1910.95, 82.100,  8.329,-94.400, 54.650, 37.000
 1938.65, 79.600,  8.272,-98.400, 53.350, 36.920
 1966.75, 77.520,  8.243,-113.000, 51.990, 37.010
 1995.26, 76.660,  8.224,-125.600, 50.440, 37.690
 2024.18, 76.170,  8.215,-133.400, 48.460, 38.490
 2053.53, 76.000,  8.224,-144.400, 46.460, 38.920
 2083.29, 76.550,  8.234,-154.800, 44.370, 38.880
 2113.49, 77.150,  8.253,-157.200, 42.140, 38.290
 2144.12, 77.040,  8.281,-160.000, 39.950, 37.490
 2175.20, 76.570,  8.310,-167.200, 38.270, 36.580
 2206.73, 77.250,  8.329,169.200, 37.400, 35.640
 2238.72, 79.430,  8.348,161.400, 37.790, 34.860
 2271.17, 81.340,  8.367,169.600, 39.400, 34.710
 2304.09, 81.840,  8.387,179.200, 40.720, 35.510
 2337.49, 81.090,  8.406,-173.000, 41.000, 36.480
 2371.37, 80.500,  8.425,178.400, 40.610, 36.740
 2405.75, 81.470,  8.445,164.400, 39.510, 36.300
 2440.62, 82.910,  8.464,171.200, 38.050, 35.460
 2476.00, 83.240,  8.494,-179.200, 36.710, 34.840
 2511.89, 82.850,  8.513,-178.200, 35.250, 35.080
 2548.30, 82.530,  8.543,-179.000, 33.950, 35.830
 2585.23, 82.530,  8.562,-179.200, 33.270, 36.360
 2622.71, 83.330,  8.582,168.600, 33.090, 36.110
 2660.73, 84.140,  8.602,-178.800, 33.150, 35.440
 2699.29, 83.620,  8.622,-170.600, 33.000, 35.280
 2738.42, 82.580,  8.651,-170.400, 32.420, 35.530
 2778.11, 82.350,  8.671,-178.600, 31.690, 35.710
 2818.38, 82.800,  8.701,178.200, 31.170, 35.710
 2859.24, 82.920,  8.732,-174.400, 30.840, 35.450
 2900.68, 82.050,  8.762,-171.200, 30.370, 35.070
 2942.73, 81.320,  8.792,177.800, 30.430, 34.960
 2985.38, 82.240,  8.822,164.200, 31.380, 35.240
 3028.66, 83.430,  8.863,171.400, 32.310, 35.780
 3072.56, 83.450,  8.894,173.000, 32.870, 36.160
 3117.09, 83.750,  8.935,167.400, 33.010, 36.160
 3162.28, 84.400,  8.966,173.400, 32.690, 36.250
 3208.12, 84.480,  9.007,176.000, 32.390, 36.870
 3254.62, 84.650,  9.049,172.600, 32.240, 37.850
 3301.79, 84.760,  9.091,179.800, 32.070, 38.570
 3349.65, 84.320,  9.133,-175.000, 31.530, 38.470
 3398.21, 84.420,  9.175,172.200, 30.840, 37.510
 3447.47, 84.850,  9.206,-178.200, 30.880, 36.220
 3497.44, 84.300,  9.249,-172.800, 30.920, 35.450
 3548.13, 83.560,  9.281,-177.600, 30.010, 35.230
 3599.56, 83.670,  9.324,176.400, 29.150, 34.640
 3651.74, 83.720,  9.367,177.600, 28.990, 33.480
 3704.67, 83.800,  9.410,173.200, 29.080, 32.630
 3758.37, 84.770,  9.443,167.800, 29.520, 32.400
 3812.85, 85.450,  9.663,173.200, 35.040, 35.700
