[HEADER]
VERSION=S255W01
ITEMNAME=IMP
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,IMP_1       ,IMP_2       ,IMP_3       ,IMP_4       ,IMP_5       ,IMP_6       ,IMP_7       ,IMP_8       ,IMP_9       ,IMP_10      
    19.95,  21.163,  21.124,  21.507,  21.267,  21.199,  21.101,  21.010,  21.125,  21.127,  20.987
    20.24,  21.156,  21.114,  21.506,  21.268,  21.190,  21.137,  21.041,  21.161,  21.164,  21.019
    20.54,  21.175,  21.138,  21.536,  21.291,  21.208,  21.173,  21.073,  21.198,  21.200,  21.052
    20.83,  21.223,  21.174,  21.572,  21.336,  21.239,  21.209,  21.104,  21.234,  21.237,  21.084
    21.13,  21.257,  21.204,  21.613,  21.378,  21.274,  21.245,  21.136,  21.271,  21.274,  21.116
    21.44,  21.297,  21.237,  21.649,  21.408,  21.311,  21.281,  21.168,  21.307,  21.311,  21.149
    21.75,  21.332,  21.278,  21.695,  21.458,  21.345,  21.318,  21.199,  21.344,  21.348,  21.182
    22.07,  21.382,  21.314,  21.738,  21.496,  21.386,  21.354,  21.231,  21.381,  21.385,  21.214
    22.39,  21.413,  21.351,  21.768,  21.534,  21.423,  21.391,  21.263,  21.418,  21.423,  21.247
    22.71,  21.450,  21.385,  21.804,  21.580,  21.451,  21.428,  21.296,  21.456,  21.460,  21.280
    23.04,  21.506,  21.431,  21.865,  21.630,  21.500,  21.464,  21.328,  21.493,  21.498,  21.313
    23.37,  21.545,  21.469,  21.902,  21.667,  21.528,  21.511,  21.369,  21.538,  21.544,  21.354
    23.71,  21.592,  21.507,  21.956,  21.726,  21.582,  21.558,  21.410,  21.583,  21.589,  21.395
    24.06,  21.641,  21.556,  22.001,  21.774,  21.615,  21.605,  21.451,  21.629,  21.635,  21.436
    24.41,  21.687,  21.593,  22.041,  21.817,  21.663,  21.652,  21.492,  21.675,  21.681,  21.478
    24.76,  21.735,  21.641,  22.096,  21.873,  21.701,  21.700,  21.533,  21.721,  21.728,  21.519
    25.12,  21.791,  21.690,  22.157,  21.920,  21.755,  21.747,  21.575,  21.767,  21.774,  21.561
    25.48,  21.837,  21.738,  22.202,  21.973,  21.795,  21.795,  21.617,  21.813,  21.821,  21.603
    25.85,  21.907,  21.801,  22.274,  22.051,  21.857,  21.858,  21.674,  21.874,  21.883,  21.657
    26.23,  21.955,  21.843,  22.324,  22.101,  21.905,  21.920,  21.731,  21.935,  21.946,  21.711
    26.61,  22.013,  21.894,  22.381,  22.158,  21.952,  21.983,  21.788,  21.997,  22.009,  21.765
    26.99,  22.092,  21.964,  22.458,  22.233,  22.020,  22.046,  21.846,  22.059,  22.073,  21.819
    27.38,  22.143,  22.013,  22.517,  22.293,  22.067,  22.110,  21.903,  22.121,  22.137,  21.874
    27.78,  22.200,  22.070,  22.568,  22.354,  22.122,  22.174,  21.962,  22.184,  22.201,  21.929
    28.18,  22.281,  22.145,  22.659,  22.440,  22.188,  22.255,  22.035,  22.267,  22.284,  22.005
    28.59,  22.366,  22.217,  22.731,  22.520,  22.266,  22.336,  22.109,  22.350,  22.368,  22.081
    29.01,  22.444,  22.288,  22.817,  22.608,  22.336,  22.418,  22.183,  22.434,  22.452,  22.157
    29.43,  22.507,  22.351,  22.883,  22.677,  22.394,  22.500,  22.258,  22.518,  22.537,  22.234
    29.85,  22.576,  22.412,  22.948,  22.741,  22.452,  22.583,  22.333,  22.603,  22.622,  22.311
    30.29,  22.664,  22.491,  23.034,  22.835,  22.528,  22.676,  22.417,  22.695,  22.716,  22.393
    30.73,  22.747,  22.565,  23.128,  22.922,  22.611,  22.770,  22.501,  22.787,  22.811,  22.476
    31.17,  22.840,  22.652,  23.217,  23.014,  22.694,  22.864,  22.586,  22.880,  22.906,  22.559
    31.62,  22.933,  22.737,  23.316,  23.112,  22.781,  22.960,  22.672,  22.973,  23.003,  22.643
    32.08,  23.035,  22.825,  23.399,  23.210,  22.861,  23.056,  22.758,  23.068,  23.100,  22.728
    32.55,  23.128,  22.911,  23.501,  23.314,  22.951,  23.159,  22.849,  23.167,  23.204,  22.819
    33.02,  23.228,  23.003,  23.606,  23.419,  23.038,  23.263,  22.940,  23.267,  23.309,  22.912
    33.50,  23.331,  23.102,  23.708,  23.526,  23.134,  23.369,  23.033,  23.368,  23.414,  23.005
    33.98,  23.428,  23.191,  23.808,  23.626,  23.226,  23.475,  23.126,  23.470,  23.521,  23.098
    34.47,  23.563,  23.314,  23.939,  23.765,  23.343,  23.582,  23.219,  23.573,  23.629,  23.193
    34.97,  23.697,  23.437,  24.074,  23.905,  23.463,  23.692,  23.318,  23.680,  23.742,  23.291
    35.48,  23.808,  23.534,  24.186,  24.010,  23.562,  23.803,  23.418,  23.788,  23.855,  23.390
    36.00,  23.924,  23.639,  24.288,  24.136,  23.664,  23.915,  23.518,  23.897,  23.970,  23.490
    36.52,  24.065,  23.767,  24.434,  24.281,  23.796,  24.028,  23.620,  24.007,  24.087,  23.591
    37.05,  24.211,  23.908,  24.585,  24.434,  23.933,  24.142,  23.722,  24.117,  24.204,  23.692
    37.58,  24.327,  24.020,  24.698,  24.549,  24.033,  24.295,  23.863,  24.268,  24.358,  23.830
    38.13,  24.478,  24.154,  24.850,  24.710,  24.169,  24.451,  24.005,  24.420,  24.514,  23.970
    38.68,  24.647,  24.296,  25.007,  24.881,  24.325,  24.609,  24.149,  24.573,  24.672,  24.112
    39.24,  24.799,  24.439,  25.151,  25.035,  24.458,  24.768,  24.294,  24.729,  24.832,  24.255
    39.81,  24.958,  24.582,  25.310,  25.195,  24.601,  24.933,  24.442,  24.884,  24.996,  24.407
    40.39,  25.125,  24.740,  25.476,  25.373,  24.757,  25.099,  24.592,  25.040,  25.163,  24.561
    40.97,  25.285,  24.889,  25.629,  25.544,  24.910,  25.268,  24.743,  25.199,  25.332,  24.716
    41.57,  25.455,  25.051,  25.800,  25.723,  25.074,  25.440,  24.897,  25.359,  25.503,  24.874
