[HEADER]
VERSION=S255W01
ITEMNAME=SPL
COMMENT=
[DATA]
MODEL=PP
MEMO=B02_Sidewall_study
DATAFILE=C:\FOS4CHDAT\VDDS\35mm Sidewall\PP\20220817-001.M10
BEGIN_RECORD=1
END_RECORD=10
FREQ     ,SPL_1       ,SPL_2       ,SPL_3       ,SPL_4       ,SPL_5       ,SPL_6       ,SPL_7       ,SPL_8       ,SPL_9       ,SPL_10      
    19.95,   70.56,   68.26,   69.63,   73.20,   68.73,   64.75,   67.09,   66.14,   65.58,   67.52
    20.24,   70.41,   69.46,   70.23,   71.28,   68.85,   65.93,   67.49,   67.05,   66.56,   68.01
    20.54,   70.82,   70.32,   71.01,   71.27,   68.14,   66.97,   67.88,   67.86,   67.44,   68.48
    20.83,   72.95,   71.63,   71.44,   74.29,   69.47,   67.90,   68.24,   68.61,   68.24,   68.92
    21.13,   72.78,   73.45,   73.07,   73.35,   71.97,   68.75,   68.59,   69.30,   68.97,   69.34
    21.44,   73.31,   72.61,   74.13,   72.70,   73.41,   69.51,   68.93,   69.93,   69.64,   69.74
    21.75,   74.76,   72.15,   74.24,   73.61,   73.76,   70.22,   69.26,   70.53,   70.27,   70.13
    22.07,   73.89,   74.29,   74.00,   73.60,   74.17,   70.87,   69.57,   71.08,   70.85,   70.49
    22.39,   73.11,   74.04,   73.57,   72.91,   73.20,   71.47,   69.87,   71.60,   71.40,   70.85
    22.71,   71.96,   72.84,   72.52,   73.48,   72.33,   72.04,   70.16,   72.10,   71.92,   71.18
    23.04,   72.64,   72.11,   72.55,   73.59,   73.33,   72.57,   70.45,   72.56,   72.40,   71.51
    23.37,   74.54,   74.13,   73.27,   74.10,   75.51,   73.05,   71.07,   72.93,   72.65,   72.06
    23.71,   74.70,   75.24,   74.32,   73.50,   76.84,   73.51,   71.64,   73.28,   72.89,   72.57
    24.06,   72.71,   73.72,   74.18,   74.30,   74.96,   73.94,   72.18,   73.62,   73.12,   73.06
    24.41,   73.68,   73.62,   75.27,   75.79,   74.96,   74.35,   72.69,   73.95,   73.35,   73.52
    24.76,   76.10,   76.26,   76.76,   77.19,   76.62,   74.74,   73.17,   74.26,   73.57,   73.96
    25.12,   75.50,   76.67,   76.26,   76.42,   77.19,   75.12,   73.63,   74.57,   73.79,   74.37
    25.48,   75.62,   76.09,   75.71,   76.54,   75.57,   75.48,   74.06,   74.86,   74.00,   74.77
    25.85,   77.85,   76.92,   77.45,   77.16,   77.66,   75.96,   74.70,   75.10,   74.59,   75.32
    26.23,   77.18,   76.62,   75.02,   75.66,   79.06,   76.42,   75.29,   75.33,   75.14,   75.84
    26.61,   77.28,   76.93,   76.76,   76.64,   77.42,   76.85,   75.84,   75.55,   75.66,   76.33
    26.99,   77.25,   77.29,   76.85,   75.90,   77.28,   77.27,   76.36,   75.77,   76.15,   76.79
    27.38,   76.62,   76.65,   76.71,   76.71,   75.92,   77.66,   76.85,   75.98,   76.61,   77.23
    27.78,   77.54,   77.83,   78.37,   77.39,   76.72,   78.04,   77.31,   76.19,   77.06,   77.64
    28.18,   77.23,   77.70,   78.16,   79.17,   77.71,   78.45,   77.35,   76.76,   77.43,   77.73
    28.59,   78.54,   77.07,   77.50,   78.64,   77.97,   78.83,   77.40,   77.29,   77.79,   77.82
    29.01,   79.03,   78.33,   77.83,   78.00,   77.76,   79.20,   77.44,   77.79,   78.14,   77.90
    29.43,   78.38,   77.64,   78.51,   77.16,   79.49,   79.56,   77.48,   78.26,   78.47,   77.99
    29.85,   78.51,   78.91,   79.16,   79.45,   78.54,   79.90,   77.52,   78.71,   78.79,   78.07
